"Dataset","Cluster","Community"
"Cheung2018M","1","2"
"Cheung2018M","2",NA
"Cheung2018M","3","3"
"Cheung2018M","0","1"
"Cheung2018M","4","3"
"Fletcher2019M","0",NA
"Fletcher2019M","3","1"
"Fletcher2019M","1","3"
"Fletcher2019M","2","1"
"Lopez2021M","0","1"
"Lopez2021M","1",NA
"Lopez2021M","3",NA
"Lopez2021M","2","2"
"Mayran2019M","4","1"
"Mayran2019M","0","1"
"Mayran2019M","1","3"
"Mayran2019M","2","2"
"Mayran2019M","3","1"
"Ruf_Zamojski2021M","2",NA
"Ruf_Zamojski2021M","6",NA
"Ruf_Zamojski2021M","8","1"
"Ruf_Zamojski2021M","1","2"
"Ruf_Zamojski2021M","4","2"
"Ruf_Zamojski2021M","3","3"
"Ruf_Zamojski2021M","0","3"
"Ruf_Zamojski2021M","7","3"
"Ruf_Zamojski2021M","5","2"
"Vennekens2021M","3","1"
"Vennekens2021M","0","3"
"Vennekens2021M","1",NA
"Vennekens2021M","2","3"
