"Dataset","Cluster","Community"
"Cheung2018M","1","5"
"Cheung2018M","2",NA
"Cheung2018M","3","3"
"Cheung2018M","0","1"
"Cheung2018M","4","4"
"Fletcher2019M","0",NA
"Fletcher2019M","3",NA
"Fletcher2019M","1",NA
"Fletcher2019M","2",NA
"Lopez2021M","0","1"
"Lopez2021M","1",NA
"Lopez2021M","3",NA
"Lopez2021M","2","5"
"Mayran2019M","4","1"
"Mayran2019M","0",NA
"Mayran2019M","1",NA
"Mayran2019M","2",NA
"Mayran2019M","3","2"
"Ruf_Zamojski2021M","2",NA
"Ruf_Zamojski2021M","6",NA
"Ruf_Zamojski2021M","8","2"
"Ruf_Zamojski2021M","1",NA
"Ruf_Zamojski2021M","4",NA
"Ruf_Zamojski2021M","3","3"
"Ruf_Zamojski2021M","0",NA
"Ruf_Zamojski2021M","7",NA
"Ruf_Zamojski2021M","5",NA
"Vennekens2021M","3","1"
"Vennekens2021M","0",NA
"Vennekens2021M","1",NA
"Vennekens2021M","2","4"
